epoch,step,test_loss,train_loss
0,49,,3.0417089462280273
0,99,,3.127716541290283
0,149,,3.262139320373535
0,199,,3.208272933959961
0,249,,3.1417622566223145
0,299,,3.0167622566223145
0,349,,3.391758918762207
0,399,,3.2667622566223145
0,449,,3.3917622566223145
0,499,,3.2667622566223145
0,549,,3.2667622566223145
0,599,,3.2667622566223145
0,649,,3.2667622566223145
0,699,,3.3917198181152344
0,749,,3.3917617797851562
0,799,,3.3915047645568848
0,849,,3.3917622566223145
0,899,,3.2667622566223145
0,949,,3.2667622566223145
0,999,,3.3917622566223145
0,1049,,3.3917622566223145
0,1099,,3.3917622566223145
0,1149,,3.3917622566223145
0,1199,,3.3917622566223145
0,1249,,3.3917622566223145
0,1299,,3.2667622566223145
0,1349,,3.3917622566223145
0,1399,,3.3917622566223145
0,1449,,3.3917622566223145
0,1499,,3.2667622566223145
0,1549,,3.3917622566223145
0,1599,,3.3917622566223145
0,1649,,3.3917622566223145
0,1699,,3.3917622566223145
0,1749,,3.3917622566223145
0,1799,,3.2667622566223145
0,1849,,3.3917622566223145
0,1899,,3.3917622566223145
0,1949,,3.3917622566223145
0,1999,,3.3917622566223145
0,2049,,3.2667622566223145
0,2099,,3.3917622566223145
0,2149,,3.3917622566223145
0,2199,,3.3917622566223145
0,2249,,3.3917622566223145
0,2299,,3.3917622566223145
0,2349,,3.3917622566223145
0,2399,,3.3917622566223145
0,2449,,3.3917622566223145
0,2499,,3.3917622566223145
0,2549,,3.3917622566223145
0,2599,,3.3917622566223145
0,2649,,3.3917622566223145
0,2699,,3.3917622566223145
0,2749,,3.3917622566223145
0,2799,,3.3917622566223145
0,2849,,3.3917622566223145
0,2899,,3.3917622566223145
0,2949,,3.3917622566223145
0,2999,,3.3917622566223145
0,3049,,3.3917622566223145
0,3099,,3.3917622566223145
0,3149,,3.3917622566223145
0,3199,,3.3917622566223145
0,3249,,3.3917622566223145
0,3299,,3.3917622566223145
0,3349,,3.2667622566223145
0,3399,,3.2667622566223145
0,3449,,3.3917622566223145
0,3499,,3.2667622566223145
0,3549,,3.3917622566223145
0,3599,,3.3917622566223145
0,3649,,3.3917622566223145
0,3699,,3.3917622566223145
0,3749,,3.3917622566223145
0,3799,,3.3917622566223145
0,3849,,3.3917622566223145
0,3899,,3.3917622566223145
0,3949,,3.3917622566223145
0,3999,,3.3917622566223145
0,4049,,3.3917622566223145
0,4099,,3.3917622566223145
0,4149,,3.3917622566223145
0,4199,,3.3917622566223145
0,4249,,3.3917622566223145
0,4299,,3.2667622566223145
0,4349,,3.3917622566223145
0,4399,,3.2667622566223145
0,4449,,3.3917622566223145
0,4499,,3.3917622566223145
0,4549,,3.3917622566223145
0,4599,,3.3917622566223145
0,4649,,3.3917622566223145
0,4699,,3.3917622566223145
0,4749,,3.3917622566223145
0,4799,,3.2667622566223145
0,4849,,3.3917622566223145
0,4899,,3.2667622566223145
0,4949,,3.3917622566223145
0,4999,,3.1417622566223145
0,5049,,3.3917622566223145
0,5099,,3.2667622566223145
0,5149,,3.3917622566223145
0,5199,,3.3917622566223145
0,5249,,3.2667622566223145
0,5299,,3.3917622566223145
0,5349,,3.3917622566223145
0,5399,,3.3917622566223145
0,5449,,3.3917622566223145
0,5499,,3.2667622566223145
0,5549,,3.2667622566223145
0,5599,,3.3917622566223145
0,5649,,3.2667622566223145
0,5699,,3.3917622566223145
0,5749,,3.3917622566223145
0,5799,,3.3917622566223145
0,5849,,3.3917622566223145
0,5899,,3.3917622566223145
0,5949,,3.2667622566223145
0,5999,,3.3917622566223145
0,6049,,3.3917622566223145
0,6099,,3.3917622566223145
0,6149,,3.3917622566223145
0,6199,,3.3917622566223145
0,6249,,3.3917622566223145
0,6299,,3.2667622566223145
